price_id,book_id,price,start_date
1,1,20.74,2023-01-01
2,2,19.24,2023-01-01
3,3,22.69,2023-01-01
4,4,13.11,2023-01-01
5,5,21.93,2023-01-01
6,6,24.44,2023-01-01
7,7,14.16,2023-01-01
8,8,10.49,2023-01-01
9,9,25.3,2023-01-01
10,10,15.78,2023-01-01
11,11,28.4,2023-01-01
12,12,10.87,2023-01-01
13,13,23.1,2023-01-01
14,14,17.88,2023-01-01
15,15,16.3,2023-01-01
16,16,15.73,2023-01-01
17,17,21.46,2023-01-01
18,18,9.5,2023-01-01
19,19,15.39,2023-01-01
20,20,29.73,2023-01-01
21,21,21.93,2023-01-01
22,22,29.78,2023-01-01
23,23,18.28,2023-01-01
24,24,12.05,2023-01-01
25,25,9.93,2023-01-01
26,26,26.17,2023-01-01
27,27,13.18,2023-01-01
28,28,16.84,2023-01-01
29,29,24.9,2023-01-01
30,30,26.9,2023-01-01
31,31,11.35,2023-01-01
32,32,10.14,2023-01-01
33,33,28.92,2023-01-01
34,34,28.45,2023-01-01
35,35,27.23,2023-01-01
36,36,26.21,2023-01-01
37,37,9.28,2023-01-01
38,38,23.56,2023-01-01
39,39,11.33,2023-01-01
40,40,18.44,2023-01-01
41,41,9.47,2023-01-01
42,42,13.38,2023-01-01
43,43,20.29,2023-01-01
44,44,13.27,2023-01-01
45,45,19.98,2023-01-01
46,46,14.42,2023-01-01
47,47,19.13,2023-01-01
48,48,24.32,2023-01-01
49,49,11.96,2023-01-01
50,50,23.66,2023-01-01
51,51,9.38,2023-01-01
52,52,21.23,2023-01-01
53,53,22.92,2023-01-01
54,54,9.9,2023-01-01
55,55,12.57,2023-01-01
56,56,14.95,2023-01-01
57,57,25.56,2023-01-01
58,58,21.97,2023-01-01
59,59,10.1,2023-01-01
60,60,22.74,2023-01-01
61,61,9.17,2023-01-01
62,62,17.15,2023-01-01
63,63,14.69,2023-01-01
64,64,26.88,2023-01-01
65,65,22.85,2023-01-01
66,66,27.14,2023-01-01
67,67,9.39,2023-01-01
68,68,27.21,2023-01-01
69,69,22.63,2023-01-01
70,70,13.84,2023-01-01
71,71,16.98,2023-01-01
72,72,29.5,2023-01-01
73,73,11.08,2023-01-01
74,74,15.61,2023-01-01
75,75,27.19,2023-01-01
76,76,20.15,2023-01-01
77,77,12.9,2023-01-01
78,78,19.5,2023-01-01
79,79,18.61,2023-01-01
80,80,28.44,2023-01-01
81,81,9.44,2023-01-01
82,82,14.19,2023-01-01
83,83,20.11,2023-01-01
84,84,15.99,2023-01-01
85,85,17.25,2023-01-01
86,86,12.29,2023-01-01
87,87,16.27,2023-01-01
