sale_id,book_id,sale_date,quantity
1,130,2024-05-04,1
2,421,2023-03-08,4
3,252,2023-03-17,5
4,323,2024-12-03,1
5,78,2023-06-02,5
6,486,2023-11-08,1
7,128,2023-05-02,5
8,392,2024-03-02,5
9,306,2024-09-25,2
10,398,2024-06-19,4
11,231,2024-03-29,3
12,441,2024-08-25,4
13,157,2024-08-05,5
14,31,2024-09-16,1
15,486,2023-08-01,2
16,136,2024-11-07,1
17,81,2023-09-03,2
18,283,2023-03-18,2
19,2,2024-02-23,4
20,353,2024-08-31,4
21,150,2023-02-03,2
22,148,2024-12-24,3
23,360,2024-04-09,1
24,352,2023-08-28,3
25,404,2024-10-02,5
26,339,2023-07-22,4
27,59,2024-07-11,2
28,332,2023-06-02,3
29,424,2023-05-26,1
30,31,2023-06-19,3
31,305,2024-08-05,3
32,225,2023-05-08,4
33,353,2023-11-08,4
34,483,2023-10-06,5
35,277,2024-05-20,4
36,42,2024-09-04,1
37,456,2024-03-18,3
38,310,2023-09-14,1
39,47,2023-08-23,5
40,301,2023-01-22,3
41,296,2023-02-11,2
42,241,2024-06-15,4
43,470,2023-10-12,2
44,300,2024-03-22,4
45,497,2023-04-04,4
46,179,2024-02-23,3
47,165,2024-11-17,1
48,440,2023-06-14,3
49,211,2024-12-11,4
50,148,2024-11-09,4
51,417,2024-07-17,1
52,233,2023-04-01,3
53,130,2023-11-28,1
54,497,2024-02-18,5
55,423,2023-01-02,5
56,237,2024-02-28,1
57,97,2024-06-14,3
58,319,2024-05-25,4
59,390,2023-02-22,2
60,137,2024-07-16,2
61,475,2023-10-22,4
62,451,2024-12-16,4
63,63,2023-01-30,5
64,410,2023-09-03,2
65,160,2024-07-18,1
66,283,2024-02-22,1
67,116,2023-04-27,4
68,485,2023-05-01,2
69,256,2023-10-26,5
70,362,2023-10-07,4
71,428,2024-05-09,4
72,125,2024-04-12,5
73,75,2024-01-28,2
74,472,2024-09-05,5
75,383,2023-05-20,1
76,142,2024-02-29,3
77,479,2024-06-03,3
78,421,2023-01-03,3
79,372,2023-11-02,5
80,297,2024-11-06,4
81,444,2023-06-02,4
82,276,2024-05-10,3
83,171,2024-07-19,5
84,194,2024-04-11,3
85,446,2023-07-13,2
86,293,2024-01-28,2
87,439,2024-02-25,1
88,163,2024-04-29,4
89,198,2024-11-10,2
90,254,2023-02-07,2
91,258,2024-08-27,3
92,446,2023-04-13,4
93,52,2024-06-22,4
94,8,2023-05-28,4
95,446,2024-11-01,2
96,39,2024-04-25,3
97,174,2024-09-30,4
98,333,2023-03-24,3
99,437,2024-11-21,5
100,195,2023-11-21,4
101,447,2024-07-08,1
102,317,2023-03-12,2
103,324,2024-12-01,3
104,117,2023-04-03,4
105,51,2024-10-10,1
106,228,2023-06-20,3
107,463,2023-01-30,1
108,167,2023-02-27,3
109,184,2024-01-19,4
110,75,2023-09-08,5
111,211,2024-08-02,2
112,88,2023-06-29,1
113,313,2024-01-27,5
114,350,2023-09-04,4
115,468,2024-08-20,2
116,119,2024-04-17,3
117,236,2023-09-19,1
118,461,2024-04-21,3
119,347,2024-07-13,2
120,38,2024-03-28,3
121,301,2023-11-03,4
122,354,2023-09-14,4
123,433,2023-11-06,2
124,197,2024-05-09,1
125,122,2024-01-26,5
126,184,2024-08-11,3
127,359,2023-10-30,1
128,425,2024-11-05,4
129,141,2023-01-09,5
130,443,2024-12-03,1
131,467,2024-09-12,4
132,427,2023-10-21,2
133,311,2023-12-27,2
134,326,2023-07-14,5
135,129,2024-11-25,2
136,322,2023-04-10,1
137,159,2024-03-27,1
138,297,2024-01-09,2
139,47,2023-10-30,3
140,383,2024-03-01,2
141,103,2023-05-16,5
142,449,2024-01-10,5
143,257,2023-10-07,2
144,132,2024-05-08,3
145,383,2023-12-13,1
146,240,2023-03-19,2
147,387,2023-08-20,4
148,496,2024-07-24,3
149,47,2024-02-09,1
150,136,2024-07-03,1
151,233,2024-01-13,3
152,300,2024-01-26,3
153,56,2024-11-22,2
154,242,2023-01-26,5
155,453,2024-07-28,3
156,469,2024-09-16,2
157,332,2023-03-06,4
158,466,2024-12-18,3
159,333,2024-02-23,1
160,72,2023-02-16,1
161,156,2024-05-19,1
162,50,2023-08-29,5
163,70,2024-02-02,4
164,190,2024-11-17,5
165,215,2024-08-24,2
166,454,2024-02-29,1
167,427,2024-05-16,5
168,209,2023-10-14,1
169,354,2024-01-15,2
170,228,2024-03-31,2
171,438,2024-01-07,1
172,352,2024-01-12,5
173,462,2024-10-22,3
174,32,2024-02-12,3
175,98,2023-05-06,4
176,47,2024-11-09,2
177,329,2024-10-16,5
178,498,2023-01-22,1
179,403,2023-12-08,2
180,65,2024-08-01,2
181,36,2024-07-21,2
182,301,2023-08-10,2
183,169,2023-06-01,5
184,2,2023-10-11,2
185,67,2024-07-07,3
186,409,2023-06-28,1
187,339,2023-01-27,2
188,8,2024-01-02,2
189,302,2023-11-28,1
190,90,2023-09-29,1
191,65,2024-03-07,5
192,59,2023-03-07,4
193,230,2024-01-06,5
194,304,2023-04-22,4
195,258,2023-08-15,5
196,23,2024-11-05,5
197,155,2024-04-14,1
198,32,2024-05-05,4
199,219,2024-12-03,1
200,252,2024-12-30,4
201,38,2023-03-24,3
202,312,2023-06-01,1
203,65,2023-10-09,5
204,325,2024-08-22,5
205,365,2023-11-29,4
206,306,2024-06-27,3
207,233,2024-06-01,5
208,221,2023-04-12,1
209,437,2024-11-01,5
210,370,2023-08-09,4
211,232,2023-08-22,4
212,174,2024-04-09,4
213,213,2023-04-08,3
214,219,2023-11-17,3
215,192,2023-06-06,4
216,35,2023-04-04,1
217,48,2024-03-18,1
218,382,2024-01-17,2
219,285,2023-03-03,5
220,490,2024-07-29,5
221,169,2024-11-17,1
222,211,2023-12-29,4
223,445,2023-02-22,3
224,308,2023-11-16,3
225,54,2024-08-14,5
226,109,2023-06-08,4
227,115,2023-04-21,3
228,433,2024-07-23,3
229,59,2023-10-13,5
230,116,2024-03-15,5
231,499,2024-09-28,5
232,346,2024-10-20,5
233,14,2024-09-15,3
234,15,2023-07-04,3
235,360,2023-11-13,3
236,180,2023-01-07,2
237,446,2023-05-27,5
238,337,2024-02-15,1
239,73,2024-10-10,1
240,47,2024-06-27,2
241,193,2024-03-05,4
242,175,2023-06-11,3
243,160,2023-11-29,5
244,306,2023-03-28,1
245,80,2023-06-11,5
246,26,2024-11-21,1
247,140,2024-03-29,4
248,249,2024-09-13,4
249,213,2023-10-07,2
250,387,2024-06-08,1
251,177,2024-03-16,1
252,146,2024-11-25,5
253,250,2024-06-23,3
254,24,2023-08-14,4
255,307,2023-02-26,1
256,105,2023-11-05,2
257,393,2023-05-21,3
258,149,2023-12-02,1
259,4,2024-05-24,4
260,90,2023-05-13,4
261,273,2024-12-21,2
262,257,2024-07-26,3
263,37,2024-02-11,1
264,224,2023-01-20,4
265,472,2023-03-21,3
266,295,2024-03-15,5
267,208,2024-12-27,4
268,149,2023-04-28,4
269,11,2023-11-29,2
270,411,2024-09-24,4
271,426,2024-12-07,3
272,46,2024-03-23,1
273,125,2024-03-22,5
274,206,2024-06-20,1
275,203,2023-11-14,3
276,114,2023-12-08,2
277,40,2024-06-06,1
278,272,2024-06-06,2
279,464,2023-12-24,3
280,373,2024-10-22,2
281,121,2023-04-16,2
282,132,2023-07-22,2
283,309,2023-06-06,1
284,91,2024-10-05,4
285,238,2024-07-31,5
286,230,2024-11-28,5
287,330,2024-10-12,5
288,166,2024-10-04,3
289,78,2024-03-26,1
290,241,2024-03-28,3
291,408,2023-10-09,5
292,29,2023-12-27,5
293,38,2023-11-14,4
294,232,2023-02-08,1
295,189,2023-10-21,1
296,331,2023-04-03,5
297,305,2024-06-03,4
298,237,2024-08-17,5
299,489,2023-02-12,4
300,466,2024-08-08,2
301,165,2024-09-11,4
302,257,2023-06-04,1
303,231,2023-04-16,3
304,366,2023-03-28,5
305,331,2023-06-26,1
306,127,2024-12-25,4
307,225,2024-06-20,5
308,313,2023-06-12,3
309,191,2023-10-17,4
310,210,2023-12-13,5
311,27,2024-10-08,3
312,34,2023-12-04,1
313,286,2024-11-25,4
314,146,2023-09-16,5
315,448,2023-06-03,3
316,42,2024-08-19,2
317,470,2023-12-25,3
318,496,2024-11-02,4
319,67,2024-09-01,1
320,159,2024-07-26,4
321,330,2023-12-03,2
322,344,2024-12-20,5
323,48,2024-10-23,4
324,261,2024-01-06,1
325,186,2023-11-13,2
326,487,2023-08-08,3
327,486,2024-05-12,2
328,116,2023-05-21,2
329,40,2023-10-30,1
330,260,2024-07-06,5
331,20,2024-11-08,3
332,449,2024-09-24,2
333,306,2024-01-21,2
334,84,2023-07-05,5
335,415,2023-06-19,4
336,23,2024-02-25,3
337,347,2023-09-01,4
338,313,2023-10-19,4
339,120,2024-06-30,2
